,대상자번호,업종코드1,대상자명,대상자코드
4189064,6000436246,10219.0,(주)예맥통상,100
4189068,6000435733,21210.0,동아에스티(주),100
4189072,6000497313,25122.0,(주)시스코,100
4189077,6000526473,30399.0,한국정밀(주),100
4189171,6000893376,46591.0,IRONTECH SOLUTIONS SL,355
4189316,6000893376,46591.0,IRONTECH SOLUTIONS SL,355
4189370,6000576445,24121.0,HANOI YOU STEEL CO LTD,176
4189401,6000868991,,ALASLIYAT FOR TRADING,255
4189474,2516101026,46739.0,CCI S A,516
4189571,6000472748,25113.0,THE NATIONAL FACTORY FOR MAKING CAN BRANCH OF ABDUL RAHMAN AL HADAR FACTORY FOR CHEMICAL INDUSTRIES,255
4189647,6000457234,72129.0,(주) 에이치엔씨,100
4189748,6000857414,46311.0,(주) 이립인터내셔널,100
4189759,6000141741,30399.0,MULTIMATIC INC,410
4189770,6000865383,46533.0,M&N HI-TECH,100
4189809,6000389336,46592.0,NEW LIFE MEDICAL LLC(OOO NL MEDIKAL),361
4189810,6000468895,46539.0,MARINE ENGINES AND MACHINERIES SPARES SRL,332
4189851,6000869918,25929.0,해승하이텍(주),100
4189867,3100012906,31114.0,(주)세창스틸,100
4189872,6000018115,58221.0,DIGITAL EVO SDN BHD,151
4189874,3100117792,45219.0,주식회사카멕스부품,100
4189875,3100116668,29299.0,엔트라(주),100
4189932,6000162277,30399.0,(주)삼원에어텍,100
4189941,6000202995,20499.0,GLUCOM SAC,560
4189968,6000162268,25112.0,(주)대흥테크,100
4189972,6000196027,29120.0,동인중공업(주),100
4189976,6000198489,26429.0,모아컴코리아(주),100
4189980,6000245007,28519.0,주식회사 아이언맥스,100
4189987,6000795328,46532.0,에스피에스이엔지,100
4190072,6000368422,46204.0,농업회사법인주식회사제라,100
4190077,6000371447,17221.0,(주)기프트바이디자인,100
4190097,6000888412,,CASTLE APPLIANCES,410
4190120,6000595421,15110.0,(주)태리무역,100
4190121,6000600918,46800.0,지씨로지스틱스 (주),100
4190138,2240100239,46599.0,ABDELMASSIH TRADING COMPANY SARL,240
4190152,6000534475,11111.0,이동주조(주),100
4190156,2450122258,47111.0,THE BON TON STORES INC,450
4190160,6000720217,29150.0,대흥산업(주),100
4190165,6000720762,46452.0,주식회사 케이디코퍼레이션,100
4190176,6000723202,13320.0,(주)세일섬유,100
4190247,3100000353,31111.0,현대중공업(주),100
4190263,3100109162,14192.0,(주)패션터치,100
4190270,2353100313,46332.0,OZCOCKTAIL SRL ,353
4190320,6000896918,47416.0,AVALON TEXTILE,321
4190339,6000712806,13409.0,이스트코리아(주),100
4190369,2140103818,46311.0,H AND F INTERNATIONAL CO LTD,140
4190404,6000304678,27112.0,(주)굿플,100
4190442,6000252737,26410.0,(주)씨티네트웍스,100
4190514,6000903012,,"ASIA TRAKTOR MANDIRI, PT",136
4190529,6000903013,20499.0,(주)동인금속화학,100
4190546,2450119871,46413.0,JUSTIN APPAREL INC,450
4190583,6000319786,26299.0,TIANJIN CHAOYANG ELECTRONICS CO LTD,121
4190798,6000509553,24121.0,ACEROCINTA S A DE C V,550
