,대상자번호,업종코드,대상자코드
2279473,2140101071,46510,140
2279589,2136102981,33999,136
2279626,2361101032,24131,361
2279681,2140105016,46411,140
2279890,2135101615,27112,135
2279942,2351100953,46441,351
2279990,2349101220,33999,349
2280021,2450117355,46800,450
2280388,2140104714,46800,140
2280478,2694100043,46105,694
2280641,2136102381,61220,136
2280892,2450119543,28201,450
2280915,2315100612,46510,315
2280935,2450119452,25991,450
2281045,2357100584,46800,357
2281104,2511104279,22250,511
2281142,2511103424,95310,511
2281201,2120103090,46800,120
2281204,6000060117,24111,511
2281311,2602100112,46611,602
2281431,2701102409,46321,701
2281445,2325103844,33999,325
2281458,2136103339,15211,136
2281488,2275101368,33999,275
2281507,2325103986,20501,325
2281512,2325104218,46539,325
2281544,2275102198,29241,275
2281695,2550102200,46521,550
2281853,2511103367,46510,511
2282044,2517100761,45211,517
2282341,2511103600,46800,511
2282415,2135104213,13213,135
2282421,2121108491,33999,121
2282746,2327100976,95211,327
2282835,2121105020,33999,121
2283028,2121108317,33999,121
2283116,6000068227,52941,121
2283121,2333100258,28909,333
2283550,2511100740,14191,511
2283651,2130105990,46800,130
2283671,2135102290,35200,135
2283749,2450115666,46311,450
2283862,2325103307,42311,325
2283890,2525100515,22211,525
2283920,2325103622,26299,325
2283940,2135103024,21300,135
2283988,2361102181,46105,361
2284005,2450116912,23110,450
2284025,2140106115,46800,140
2284093,2450117727,46411,450
2284120,2325103861,29119,325
2284144,2575100214,96911,575
2284209,2240100239,46691,240
2284306,2358100774,46800,358
2284376,2130106498,46800,130
2284406,2517100874,22250,517
2284613,2240100227,46521,240
2284811,2450120358,62021,450
2284851,2353100313,46331,353
2284978,2450120044,95310,450
2285132,6000146718,24131,135
2285204,2121113494,26120,121
2285271,2627100147,45211,627
2285308,2360102096,29119,360
2285311,2703100326,30310,703
2285337,2517100701,47811,517
2285415,2410102435,33999,410
2285466,2701100933,46311,701
2285587,2511102459,47320,511
2285701,2550102102,13229,550
2285750,2517101239,30310,517
2285840,2151102429,46539,151
2286042,2637100233,96999,637
2286047,2511104365,29119,511
2286075,2450101251,46799,450
2286128,2516101026,46105,516
2286140,2503102315,20501,503
2286145,2511104353,25911,511
2286207,2511104220,33999,511
2286391,2120102470,46311,120
2286566,2503102308,20499,503
2286581,2355100586,33999,355
2286587,2450121269,46411,450
2286646,2360100712,46800,360
2286732,2550101570,13221,550
2286826,2255101522,46800,255
2286851,2503101226,13310,503
2286855,2136103150,13221,136
2286870,2450119683,26120,450
2286886,2360103569,46721,360
2286891,2511103935,47520,511
2286979,2361102207,46521,361
2286986,2332101152,46800,332
2287007,2450116168,47411,450
2287022,6000069632,46539,518
2287041,2255101151,46510,255
2287063,2235100353,46105,235
2287119,2327101079,29119,327
2287373,2450108615,46800,450
2287382,6000068267,46510,140
2287427,6000068151,45211,361
2287491,2450120889,22191,450
2287673,2450120200,46321,450
2287759,2351100969,13213,351
2287965,2140102913,46311,140
2288015,2333100291,64121,333
2288029,2332100681,33999,332
2288047,2325100695,46510,325
2288067,2349101320,29161,349
2288136,2180101625,47911,180
2288155,2687100025,32019,687
2288212,2333100205,25111,333
2288220,2121108492,26299,121
2288235,2511103594,95310,511
2288238,2517100340,46510,517
2288262,2323100017,46521,323
2288308,2120101838,46800,120
2288347,2552100023,45301,552
2288350,2360103246,29119,360
2288393,2503102264,46510,503
2288417,2318100367,46441,318
2288432,2618100985,46800,618
2288521,2280100238,46800,280
2288565,2450121006,46311,450
2288574,2361101951,46510,361
2288661,2450118317,46800,450
2288738,2280101381,46739,280
2288779,2140102771,38301,140
2288844,2171800427,46539,171
2288858,2701101948,29119,701
2288871,2121112760,28909,121
2288897,6000066117,96999,450
2288966,2352100437,24311,352
2288984,2636100220,46800,636
2288985,2636100221,46799,636
2289167,2410102357,13999,410
2289305,2140105134,46510,140
2289407,2180100799,33999,180
2289516,2327101070,26410,327
2289544,2450116326,46411,450
2289564,2135101165,30121,135
2289728,2550102970,14191,550
2289765,2350100440,46411,350
2289792,2701102023,47111,701
2289800,2703100527,46311,703
2289847,6000057631,46800,511
2289931,2410101118,30310,410
2290018,2580100317,22221,580
2290030,2140101515,95310,140
2290101,2140104556,46521,140
2290286,2525100163,17121,525
2290303,2140105848,46510,140
2290466,2325103602,13221,325
2290510,2575100096,22250,575
2290640,2135102790,33999,135
2290758,2135104006,47211,135
2290788,2355101747,13109,355
2290972,2450116008,46510,450
2291017,2140103785,46321,140
2291098,2328100299,95111,328
2291156,2316100077,46539,316
2291198,2175100510,14199,175
2291220,2151104396,47591,151
2291248,2450110805,46800,450
2291264,2135104188,33999,135
2291279,2355101774,46539,355
2291341,2280100367,45211,280
2291357,2306100013,46521,306
2291430,2580100368,95310,580
2291694,2511103566,20501,511
2291729,2121109542,33999,121
2291920,2130106340,46521,130
2292108,2121109974,31111,121
2292310,2140100427,29171,140
2292430,2450121469,46105,450
