"수입자국가코드","국가한글명","표준약식국가코드"
"680",토고,TG
"681",튀니지,TN
"687",우간다,UG
"690",탄자니아,TZ
"691",콩고민주공화국,CD
"692",잠비아,ZM
"694",짐바브웨,ZW
"012",퀴라소,CW
"695",세우타,ES
"696",멜리야,ES
"701",호주,AU
"702",피지,FJ
"703",뉴질랜드,NZ
"704",뉴칼레도니아,NC
"705",호주남극속령,
"706",베이커홀랜드섬,
"707",영국남극속령,
"708",코랄섬,
"709",프랑스령 극남군도,TF
"711",프랑스령 폴리네시아,PF
"712",허드섬,HM
"713",미크로네시아,FM
"714",자비스섬,
"716",킹맨리프,
"717",미드웨이섬,
"719",노르웨이속령,
"720",나우루,NR
