,대상자번호,업종코드,대상자명,대상자코드
2336112,3100114999,46739,SGTRADINGCO,100
2336120,3100113945,46800,(주)우리그리고파란해,100
2336131,3100113957,15190,인덕물산,100
2336136,3100115233,46711,스마트인터내셔날주식회사,100
2336142,3100112159,46105,대영무역,100
2336194,3100114479,14199,(주)아이디어패럴,100
2336203,3100108613,30310,(주)아텍,100
2336223,3100108708,20501,(주)티앤에이물산,100
2336231,3100111805,46411,(주)줌텍스,100
2336245,3100108840,29119,(주)대영엔진,100
2336249,3100111612,46411,영광무역,100
2336269,3100110074,46800,지인테크,100
2336273,3100110995,26410,(주)슈프리마,100
2336444,3100021262,33201,(주)한국뮤즈,100
2336449,3100021267,14199,(주)대상어패럴,100
2336494,3100023932,46411,주노텍스타일(주),100
2336517,3100020536,23121,(주)한국니코,100
2336546,3100010806,26299,(주)코스모텍,100
2336547,3100010811,46800,(주)대진21,100
2336560,3100011025,25111,(주)국제금속,100
2336577,3100012332,38301,(주)거륭상사,100
2336579,3100012335,31111,(주)녹봉조선,100
2336584,3100012422,24321,(주)서원,100
2336662,3100026687,20301,(주)아이앤아이에스코<구.아이앤아이디피엠>,100
2336675,3100011199,33999,주식회사탈렌토,100
2336695,3100010727,38301,(주)대창무역,100
2336803,3100025252,46105,(주)유윈임펙스,100
2336805,3100101043,26410,엠씨전자(주),100
2336808,3100101047,25991,(주)아세아유니온,100
2336809,3100101048,13221,(주)해광이데아,100
2336846,3100004593,10712,한국식품,100
2336849,3100011114,25931,창성공업(주),100
2336855,3100010181,24131,(주)비앤비성원,100
2336860,3100027049,29119,(주)케이에스인더스트리,100
2336914,3100026733,13221,주식회사 효창,100
2336940,3100025477,20501,한화엘앤씨(주),100
2336941,3100025111,29119,(주)렙엔지니어링,100
2336978,3100025670,30310,(주)대현,100
2336997,3100026271,14199,(주)이레어패럴,100
2337059,3100106230,50111,(주)지오스인터내셔날,100
2337071,3100107600,29299,(주)가이아,100
2337074,3100107364,20499,나투라미디어(주),100
2337130,3100109266,11121,(주)금강비앤에프,100
2337141,3100107404,14491,(주)동양일러스트산업,100
2337142,3100107165,24111,(주)글로메탈,100
2337143,3100107166,46800,임실장미영농조합법인,100
2337167,3100107981,46420,(주)세원,100
2337174,3100107459,20301,하동산업,100
2337221,3100107269,16101,(주)대호목재,100
2337223,3100107287,13221,금보섬유(주),100
2337240,3100105746,14199,주식회사 멜카바,100
2337244,3100105523,28111,(주)스카이텍,100
2337266,3100107422,13221,(주)우일실업,100
2337319,3100106901,46411,마이스터인터내셔날(주),100
2337342,3100114201,13221,(주)청담,100
2337374,3100111767,46539,해동테크,100
2337384,3100114069,26120,(주)지티씨,100
2337385,3100114070,46105,(주)우리지앤에스,100
2337389,3100114955,46800,태양수출 영농조합법인,100
2337410,3100112614,33999,코베스트주식회사,100
2337412,3100112616,10219,(주)대창식품,100
2337413,3100112617,28511,(주)엔드테크,100
2337433,3100112137,26299,해피통상(주),100
2337435,3100112140,46800,이맥스(주),100
2337440,3100111906,26299,트라이비전디스플레이(주),100
2337447,3100112188,26120,(주)에이프로테크놀로지,100
2337484,3100116032,29119,(주)신우테크,100
2337498,3100113652,47411,(주)하이탑,100
2337509,3100113449,26310,(주)큐퍼스트테크놀로지,100
2337536,3100115491,46411,(주)재원섬유,100
2337559,3100110766,46411,대야퍼스텍(주),100
2337579,3100110771,22231,뉴테크케미칼(주),100
2337594,3100110375,26299,아이비컴(주),100
2337613,3100110423,14191,(주)제이에스케이인터내셔날,100
2337634,3100111456,46105,(주)트라존,100
2337646,3100111506,10712,주식회사진미,100
2337648,3100111508,25111,(주)경인엔지니어링,100
2337671,3100103585,26410,(주)아셈,100
2337705,3100007164,15110,(주)제양인더스트리,100
