,상품분류코드,상품분류명,상품분류그룹코드,상품분류그룹명
85,4403209000,기타,5,"목재와 펄프, 지물류"
86,440321,"소나무[피너스(Pinus)속]의 것(횡단면의 최소치수가 15 센티미터 이상인 것으로 한정한다)
",5,"목재와 펄프, 지물류"
87,4403211000,적송,5,"목재와 펄프, 지물류"
88,4403212000,라디에타소나무(radiata pine),5,"목재와 펄프, 지물류"
89,4403219000,기타,5,"목재와 펄프, 지물류"
90,440322,"소나무[피너스(Pinus)속]의 것(그 밖의 것으로 한정한다)
",5,"목재와 펄프, 지물류"
91,4403221000,적송,5,"목재와 펄프, 지물류"
92,4403222000,라디에타소나무(radiata pine),5,"목재와 펄프, 지물류"
93,4403229000,기타,5,"목재와 펄프, 지물류"
94,440323,"전나무[아비에스(Abies)속]와 가문비나무[피세아(Picea)속]의 것(횡단면의 최소치수가 15 센티미터 이상인 것으로 한정한다)
",5,"목재와 펄프, 지물류"
95,4403231000,전나무[아비에스(Abies)종],5,"목재와 펄프, 지물류"
96,4403232000,가문비나무[피세아(Picea)종],5,"목재와 펄프, 지물류"
97,440324,"전나무[아비에스(Abies)속]와 가문비나무[피세아(Picea)속]의 것(그 밖의 것으로 한정한다)
",5,"목재와 펄프, 지물류"
98,4403241000,전나무[아비에스(Abies)종],5,"목재와 펄프, 지물류"
99,4403242000,가문비나무[피세아(Picea)종],5,"목재와 펄프, 지물류"
100,440325,"기타(횡단면의 최소치수가 15 센티미터 이상인 것으로 한정한다)
",5,"목재와 펄프, 지물류"
101,4403251000,삼나무,5,"목재와 펄프, 지물류"
102,44032520,"미송
",5,"목재와 펄프, 지물류"
103,4403252000,미송,5,"목재와 펄프, 지물류"
104,4403252010,"더글러스퍼(Douglas fir)
",5,"목재와 펄프, 지물류"
105,4403252020,"헴록(hemlock)
",5,"목재와 펄프, 지물류"
106,4403252090,기타,5,"목재와 펄프, 지물류"
107,4403253000,낙엽송,5,"목재와 펄프, 지물류"
108,4403254000,전나무류[아비에스(Abies)종을 제외한다],5,"목재와 펄프, 지물류"
109,4403255000,편백나무,5,"목재와 펄프, 지물류"
110,4403259000,기타,5,"목재와 펄프, 지물류"
111,440326,"기타
",5,"목재와 펄프, 지물류"
112,4403261000,삼나무,5,"목재와 펄프, 지물류"
113,44032620,"미송
",5,"목재와 펄프, 지물류"
114,4403262000,미송,5,"목재와 펄프, 지물류"
115,4403262010,"더글러스퍼(Douglas fir)
",5,"목재와 펄프, 지물류"
116,4403262020,"헴록(hemlock)
",5,"목재와 펄프, 지물류"
117,4403262090,기타,5,"목재와 펄프, 지물류"
118,4403263000,낙엽송,5,"목재와 펄프, 지물류"
119,4403264000,전나무류[아비에스(Abies)종을 제외한다],5,"목재와 펄프, 지물류"
120,4403265000,편백나무,5,"목재와 펄프, 지물류"
121,4403269000,기타,5,"목재와 펄프, 지물류"
122,44034,3. 기타,5,"목재와 펄프, 지물류"
123,440341,가. 다크레드메란티·라이트레드메란티 및 메란티바카우,5,"목재와 펄프, 지물류"
124,4403410000,가. 다크레드메란티·라이트레드메란티 및 메란티바카우,5,"목재와 펄프, 지물류"
125,440342,농수산식품,5,"목재와 펄프, 지물류"
126,4403420000,티크(Teak),5,"목재와 펄프, 지물류"
127,440349,나. 기타,5,"목재와 펄프, 지물류"
128,4403491000,(1) 화이트라왕·화이트메란티·화이트세라야·옐로메란티 및 아란,5,"목재와 펄프, 지물류"
129,44034920,(2) 케루잉·라민·카풀·티크·종콩·멜바우·제루통 및 켐파스,5,"목재와 펄프, 지물류"
130,4403492000,케루잉(Keruing)·라민(Ramin)·카풀(Kapur)·티크(Teak)·종콩(Jongkong)·멜바우(Merbau)·제루통(Jelutong)·켐파스(Kempas),5,"목재와 펄프, 지물류"
131,4403492010,(가) 티크,5,"목재와 펄프, 지물류"
132,4403492020,(나) 케루잉,5,"목재와 펄프, 지물류"
133,4403492030,(다) 카풀,5,"목재와 펄프, 지물류"
134,4403492040,(라) 제루통,5,"목재와 펄프, 지물류"
135,4403492090,(마) 기타,5,"목재와 펄프, 지물류"
136,4403493000,(3) 오꾸메·오베체·사뺄리·시뽀·아까쥬다푸리케·마코레 및 이로코,5,"목재와 펄프, 지물류"
137,4403494000,(4) 티아마·만소니아·이롬바·디베토우·림바 및 아조베,5,"목재와 펄프, 지물류"
138,4403495000,(5)마호가니 및 발사,5,"목재와 펄프, 지물류"
139,4403499000,(6) 기타,5,"목재와 펄프, 지물류"
140,44039,4. 기 타,5,"목재와 펄프, 지물류"
141,440391,가. 참나무류,5,"목재와 펄프, 지물류"
142,4403910000,가. 참나무류,5,"목재와 펄프, 지물류"
143,440392,나. 너도밤나무류,5,"목재와 펄프, 지물류"
144,4403920000,나. 너도밤나무류,5,"목재와 펄프, 지물류"
145,440393,농수산식품,5,"목재와 펄프, 지물류"
146,4403930000,너도밤나무[파구스(Fagus)종]의 것(모든 횡단면의 치수가 15 센티미터 이상인 것으로 한정한다),5,"목재와 펄프, 지물류"
147,440394,농수산식품,5,"목재와 펄프, 지물류"
148,4403940000,너도밤나무[파구스(Fagus)종]의 것(그 밖의 것으로 한정한다),5,"목재와 펄프, 지물류"
149,440395,농수산식품,5,"목재와 펄프, 지물류"
150,4403950000,자작나무[베툴라(Betula)종]의 것(모든 횡단면의 치수가 15 센티미터 이상인 것으로 한정한다),5,"목재와 펄프, 지물류"
151,440396,농수산식품,5,"목재와 펄프, 지물류"
152,4403960000,자작나무[베툴라(Betula)종]의 것(그 밖의 것으로 한정한다),5,"목재와 펄프, 지물류"
153,440397,"포플러와 사시나무[포푸러스(Populus)속]의 것
",5,"목재와 펄프, 지물류"
154,4403971000,포플러,5,"목재와 펄프, 지물류"
155,4403972000,사시나무,5,"목재와 펄프, 지물류"
156,440398,농수산식품,5,"목재와 펄프, 지물류"
157,4403980000,유칼립투스[유칼립투스(Eucalyptus)종]의 것,5,"목재와 펄프, 지물류"
158,440399,다. 기 타,5,"목재와 펄프, 지물류"
159,44039910,(1) 황양·화리·철도목·자 단·흑단·힉코리·물푸레나무 및 호도나무,5,"목재와 펄프, 지물류"
160,4403991010,자단,5,"목재와 펄프, 지물류"
161,4403991020,흑단,5,"목재와 펄프, 지물류"
162,4403991040,물푸레나무,5,"목재와 펄프, 지물류"
163,4403991050,호도나무,5,"목재와 펄프, 지물류"
164,4403991090,기타,5,"목재와 펄프, 지물류"
165,4403992000,(2) 리그넘바이트,5,"목재와 펄프, 지물류"
166,44039930,(3) 사시나무·포플러·단풍나무·느릅나무·자작나무 및 피나무,5,"목재와 펄프, 지물류"
167,4403993010,사시나무,5,"목재와 펄프, 지물류"
168,4403993020,포플러,5,"목재와 펄프, 지물류"
169,4403993030,단풍나무,5,"목재와 펄프, 지물류"
170,4403993040,느릅나무,5,"목재와 펄프, 지물류"
171,4403993050,자작나무,5,"목재와 펄프, 지물류"
172,4403993060,피나무,5,"목재와 펄프, 지물류"
173,4403994000,(4) 오동나무,5,"목재와 펄프, 지물류"
174,44039990,기 타,5,"목재와 펄프, 지물류"
175,4403999000,기타,5,"목재와 펄프, 지물류"
176,440399901,(가)열대산 목재(앞에서 게기한 것을 제외한다),5,"목재와 펄프, 지물류"
177,4403999011,말라스,5,"목재와 펄프, 지물류"
178,4403999012,타운,5,"목재와 펄프, 지물류"
179,4403999019,기타,5,"목재와 펄프, 지물류"
180,4403999090,(나) 기타,5,"목재와 펄프, 지물류"
181,4404,"후프우드·쪼갠말뚝, 뾰족하게 만든 목재의 말뚝류, 목재의 봉, 칩",5,"목재와 펄프, 지물류"
182,440410,침엽수류,5,"목재와 펄프, 지물류"
183,4404100000,침엽수류,5,"목재와 펄프, 지물류"
184,4404102000,목재의 봉,5,"목재와 펄프, 지물류"
185,4404109000,기타,5,"목재와 펄프, 지물류"
186,440420,활엽수류,5,"목재와 펄프, 지물류"
187,4404200000,활엽수류,5,"목재와 펄프, 지물류"
188,4404202000,목재의 봉,5,"목재와 펄프, 지물류"
189,4404209000,기타,5,"목재와 펄프, 지물류"
190,4405,목모와 목분,5,"목재와 펄프, 지물류"
191,440500,목모와 목분,5,"목재와 펄프, 지물류"
192,4405000000,목모와 목분,5,"목재와 펄프, 지물류"
193,4406,궤도용 침목,5,"목재와 펄프, 지물류"
194,44061,"주약처리(impregnated)하지 않은 것
",5,"목재와 펄프, 지물류"
195,440610,주약처리하지 아니한 것,5,"목재와 펄프, 지물류"
196,4406100000,주약처리하지 아니한 것,5,"목재와 펄프, 지물류"
197,440611,농수산식품,5,"목재와 펄프, 지물류"
198,4406110000,침엽수류,5,"목재와 펄프, 지물류"
199,440612,농수산식품,5,"목재와 펄프, 지물류"
200,4406120000,활엽수류,5,"목재와 펄프, 지물류"
201,44069,"기타
",5,"목재와 펄프, 지물류"
202,440690,기타,5,"목재와 펄프, 지물류"
203,4406900000,기타,5,"목재와 펄프, 지물류"
204,440691,농수산식품,5,"목재와 펄프, 지물류"
205,4406910000,침엽수류,5,"목재와 펄프, 지물류"
206,440692,농수산식품,5,"목재와 펄프, 지물류"
207,4406920000,활엽수류,5,"목재와 펄프, 지물류"
208,4407,제재목,5,"목재와 펄프, 지물류"
209,44071,"침엽수류
",5,"목재와 펄프, 지물류"
210,440710,1. 침엽수류,5,"목재와 펄프, 지물류"
211,4407101000,삼나무,5,"목재와 펄프, 지물류"
212,4407102000,미송,5,"목재와 펄프, 지물류"
213,4407102010,더글러스퍼(Douglas fir)  ,5,"목재와 펄프, 지물류"
214,4407102020,헴록(Hemlock)  ,5,"목재와 펄프, 지물류"
215,4407102090,기타,5,"목재와 펄프, 지물류"
216,4407103000,적송,5,"목재와 펄프, 지물류"
217,4407104000,전나무,5,"목재와 펄프, 지물류"
218,4407105000,낙엽송,5,"목재와 펄프, 지물류"
219,4407107000,가문비나무,5,"목재와 펄프, 지물류"
220,4407108000,라디에타소나무,5,"목재와 펄프, 지물류"
221,4407109000,기타,5,"목재와 펄프, 지물류"
222,4407109010,편백나무,5,"목재와 펄프, 지물류"
223,4407109090,기타,5,"목재와 펄프, 지물류"
224,440711,"소나무[피누스(Pinus)속]의 것
",5,"목재와 펄프, 지물류"
225,44071110,"적송
",5,"목재와 펄프, 지물류"
226,4407111000,적송,5,"목재와 펄프, 지물류"
227,4407111010,방부처리한 것,5,"목재와 펄프, 지물류"
228,4407111020,난연처리한 것,5,"목재와 펄프, 지물류"
229,4407111090,기타,5,"목재와 펄프, 지물류"
230,4407112000,라디에타소나무(radiata pine),5,"목재와 펄프, 지물류"
231,4407119000,기타,5,"목재와 펄프, 지물류"
232,440712,"전나무[아비에스(Abies)속] 및 가문비나무[피세아(Picea)속]의 것
",5,"목재와 펄프, 지물류"
233,4407121000,전나무[아비에스(Abies)종],5,"목재와 펄프, 지물류"
234,44071220,"가문비나무[피세아(Picea)속]
",5,"목재와 펄프, 지물류"
235,4407122000,가문비나무[피세아(Picea)종],5,"목재와 펄프, 지물류"
236,4407122010,방부처리한 것,5,"목재와 펄프, 지물류"
237,4407122020,난연처리한 것,5,"목재와 펄프, 지물류"
238,4407122090,기타,5,"목재와 펄프, 지물류"
239,440713,"에스-피-에프(S-P-F)[가문비나무(피세아(Picea)속), 소나무(피누스(Pinus)속)와 전나무(아비에스(Abies)속)]의 것",5,"목재와 펄프, 지물류"
240,4407131000,방부처리한 것,5,"목재와 펄프, 지물류"
241,4407132000,난연처리한 것,5,"목재와 펄프, 지물류"
242,4407139000,기타,5,"목재와 펄프, 지물류"
243,440714,농수산식품,5,"목재와 펄프, 지물류"
244,4407140000,헴퍼(Hem-fir)[웨스턴 헴록(Western hemlock)(트수가 헤테로필라(Tsuga heterophylla))과 전나무(아비에스(Abies)속)]의 것,5,"목재와 펄프, 지물류"
245,440719,기타,5,"목재와 펄프, 지물류"
246,4407191000,삼나무,5,"목재와 펄프, 지물류"
247,44071920,"미송
",5,"목재와 펄프, 지물류"
248,4407192010,더글러스퍼(Douglas fir),5,"목재와 펄프, 지물류"
249,4407192020,헴록(hemlock),5,"목재와 펄프, 지물류"
250,4407192090,기타,5,"목재와 펄프, 지물류"
251,4407193000,전나무류[아비에스(Abies)종을 제외한다],5,"목재와 펄프, 지물류"
252,4407194000,낙엽송,5,"목재와 펄프, 지물류"
253,4407195000,편백나무,5,"목재와 펄프, 지물류"
254,4407199000,기타,5,"목재와 펄프, 지물류"
255,44072,2. 열대산 목재의 것,5,"목재와 펄프, 지물류"
256,440721,농수산식품,5,"목재와 펄프, 지물류"
257,4407210000,마호가니(스웨테니아종),5,"목재와 펄프, 지물류"
258,440722,농수산식품,5,"목재와 펄프, 지물류"
259,4407220000,비롤라ㆍ임부아 및 발사,5,"목재와 펄프, 지물류"
260,440723,농수산식품,5,"목재와 펄프, 지물류"
261,4407230000,티크(Teak),5,"목재와 펄프, 지물류"
262,440724,가. 비롤라·마호가니·임부아 및 발사,5,"목재와 펄프, 지물류"
263,4407241000,(1)비롤라,5,"목재와 펄프, 지물류"
264,4407242000,(2)마호가니,5,"목재와 펄프, 지물류"
265,4407243000,(3)임부아,5,"목재와 펄프, 지물류"
266,4407244000,(4)발사,5,"목재와 펄프, 지물류"
267,440725,나.다크레드메란티·라이트레드메란티 및 메란티바카우,5,"목재와 펄프, 지물류"
